State,Year,Month,Deaths,Cases
AK,2021,1,8371,1568946
AK,2021,2,8234,1561458
AK,2021,3,9750,1861151
AK,2021,4,9927,1944823
AK,2021,5,10990,2112427
AK,2021,6,10951,2080759
AK,2021,7,11599,2224931
AK,2021,8,12430,2451844
AK,2021,9,14008,2852753
AK,2021,10,19482,3756597
AK,2021,11,24036,4149334
AK,2021,12,27750,4524037
AK,2022,1,30718,5464362
AK,2022,2,30512,6138629
AK,2022,3,35959,7103219
AK,2022,4,35695,7045952
AK,2022,5,37859,7474255
AK,2022,6,36930,7472658
AK,2022,7,38721,8024427
AK,2022,8,39491,8288552
AK,2022,9,38955,8155647
AK,2022,10,41236,8495502
AK,2022,11,40921,8270292
AK,2022,12,42841,8595753
AL,2021,1,186731,12918778
AL,2021,2,254963,13435978
AL,2021,3,320164,15702143
AL,2021,4,322566,15647970
AL,2021,5,342116,16644019
AL,2021,6,338204,16436393
AL,2021,7,354435,17406732
AL,2021,8,366852,19782645
AL,2021,9,392227,22648676
AL,2021,10,466532,25220208
AL,2021,11,478529,25193722
AL,2021,12,505513,26625826
AL,2022,1,517217,32279458
AL,2022,2,495133,35286148
AL,2022,3,585823,39968914
AL,2022,4,583772,38939008
AL,2022,5,608376,40494350
AL,2022,6,590972,39997278
AL,2022,7,614633,43134984
AL,2022,8,620296,45081889
AL,2022,9,608656,45243896
AL,2022,10,635477,47382486
AL,2022,11,618058,46211124
AL,2022,12,641617,48345983
AR,2021,1,132939,8247169
AR,2021,2,146403,8719356
AR,2021,3,171912,10141465
AR,2021,4,170568,9990905
AR,2021,5,179528,10502727
AR,2021,6,176056,10342559
AR,2021,7,185832,11272080
AR,2021,8,201883,13003994
AR,2021,9,220083,14274322
AR,2021,10,250858,15605639
AR,2021,11,256878,15555088
AR,2021,12,276127,16722501
AR,2022,1,291871,20536344
AR,2022,2,282514,21944113
AR,2022,3,339637,24925399
AR,2022,4,339891,24309738
AR,2022,5,354269,25268244
