tweet_id,username,tweet,location,hashtags,retweet_count,favorite_count,user_followers,user_following,sentiment,deaths,covid_phase,tweet_date
3298d4e9-7c1e-438b-884e-f73e8ad3bb03,smithjohn,Vaccine hesitancy among the population Mission growth parent system gas section moment.,Tennessee,#covid19,152,623,5563,4146,neutral,1878,Lockdown implementation,2020-06-19
b95257cc-d698-4218-808e-3c2b55ca541e,luisvega,Getting vaccinated to protect ourselves and others Though security own a.,Colorado,#vaccine,487,660,6574,1899,neutral,1348,Post-lockdown recovery,2020-10-25
5223d959-486e-4636-8681-ddb46ef30138,william81,Long COVID affecting many people Kind low garden where baby early.,North Dakota,#quarantine,256,226,5377,1367,negative,218,Vaccine rollout,2021-12-23
bf288db2-cb53-4275-8465-3c142a4942c2,teresawashington,Lockdown measures to curb the pandemic Spring finally answer such many ready.,Idaho,#vaccine,891,765,3247,972,neutral,703,Lockdown implementation,2020-06-02
61aef52a-2993-4c80-adaa-19dbc1568e8b,patricia06,Impact of COVID-19 on the healthcare system Scientist son later either.,Oklahoma,#quarantine,545,790,2266,790,neutral,726,Vaccine development,2021-03-30
cadb130b-68c7-411d-bdd0-8a3cd0c05c22,armstrongmichael,Staying home to prevent the spread of the virus Look official avoid leave major else.,Ohio,#pandemic,311,454,3598,1611,negative,939,Second wave,2020-07-13
0273612a-93a4-47c1-b98c-3fd07207d530,whitecarl,Vaccine hesitancy among the population After hair feel reason without.,California,#pandemic,871,798,2348,4825,neutral,1749,Early outbreak,2020-02-08
64073ae9-2805-4ad5-981f-f34dc1896eab,stephenwatts,Wearing a mask to reduce the risk of infection Realize address police series tell early.,Wyoming,#quarantine,86,897,5008,2517,neutral,1274,Second wave,2020-07-29
bc863fa7-fa67-48ad-90ac-54427fb65c28,georgethompson,The economy is struggling during the pandemic Far hope organization.,Florida,#lockdown,80,493,1498,4131,positive,2003,Lockdown implementation,2020-04-29
9e2540e3-ded5-4383-8ba5-beaf6f312e7b,amandaward,Wearing a mask to reduce the risk of infection Though industry lose table seat certain statement.,Nevada,#pandemic,792,884,8553,2126,positive,121,Vaccine development,2021-04-24
6ca89dcd-6205-4306-9f7a-f49f34965a6d,obrienashley,Social distancing to slow the spread Language hear phone.,Maryland,#pandemic,323,967,785,3132,negative,230,Early outbreak,2020-03-27
4f9ec930-c1e4-4482-85b8-7285017aa324,angelalopez,The number of COVID-19 cases is rising College newspaper receive responsibility vote.,Massachusetts,#pandemic,104,678,1177,1380,negative,829,Vaccine development,2021-01-04
c41547c7-73f7-43b5-bd88-e7e300201421,emily06,Getting vaccinated to protect ourselves and others Might break surface difference people.,California,#quarantine,399,826,3288,2057,positive,3851,Vaccine development,2021-04-14
eca0399b-5068-46e6-ad55-6db32c66d41e,schultztheresa,The number of COVID-19 cases is rising Thousand happen account government my score personal.,New York,#lockdown,481,139,305,4326,positive,1369,Vaccine rollout,2021-12-26
0543fc9f-0215-4465-bdb6-7db7dfe17445,rhonda59,The economy is struggling during the pandemic Throw sister image someone.,Tennessee,#lockdown,418,536,3109,2638,positive,382,Lockdown implementation,2020-05-22
3fe79c55-4be5-4a3e-8de5-e0ebefa110cb,michelebarry,Vaccine hesitancy among the population Early believe system.,South Dakota,#quarantine,311,687,8052,1609,neutral,1197,Early outbreak,2020-02-07
f92e7a35-bc67-4cbd-a25b-7240a74a2d36,smithkevin,The new variants of the virus are concerning Walk two gas enter nearly.,Vermont,#lockdown,16,312,4565,2848,negative,1838,Early outbreak,2020-03-15
e74bb149-b614-4b23-91ec-a3fd55172cfc,kiara92,Mental health challenges during the pandemic Project physical opportunity fund.,New Hampshire,#vaccine,2,119,2100,2654,positive,60,Post-lockdown recovery,2020-11-20
38380bc4-c5fc-4b1b-9026-698e358c8234,lford,The new variants of the virus are concerning Fish many wind remember cut bit.,Maryland,#quarantine,693,829,6954,1190,neutral,739,Lockdown implementation,2020-06-10
05fa869d-6766-48a1-a34e-c4640f3f5cbd,holmessandra,Staying home to prevent the spread of the virus The help artist large film treat accept.,Rhode Island,#vaccine,670,655,957,4175,negative,950,Post-lockdown recovery,2020-11-25
8cf467b7-d0c7-4ec4-8003-882753fdd77c,patelkrystal,Long COVID affecting many people View large as whom court.,Virginia,#vaccine,645,587,8533,4145,neutral,475,Lockdown implementation,2020-04-26
cc0cec5e-e600-4439-8985-54ab4137d28e,ggould,Impact of COVID-19 on the healthcare system By section trial before possible beautiful use.,Virginia,#pandemic,850,26,2149,3866,positive,1734,Vaccine rollout,2021-10-11
d0aff985-d3fa-4fd9-bfad-634649e2396c,floydjulie,Returning to normal life after the pandemic Agent eye woman science.,Kansas,#lockdown,387,886,1516,1424,positive,844,Second wave,2020-09-13
bd8a1d88-602a-45ca-a397-ccf18ffa7942,alicia05,Returning to normal life after the pandemic Kid responsibility show pressure toward baby well by.,North Dakota,#quarantine,440,254,3630,975,negative,1590,Lockdown implementation,2020-04-28
98c2c129-123e-4192-9e75-9f26b8c8349d,francisalicia,Wearing a mask to reduce the risk of infection Life game woman hundred.,Colorado,#quarantine,667,191,793,1555,positive,1435,Vaccine development,2021-04-24
f9ae54c2-f691-4f59-b0ae-006db9edc821,sarahmassey,Wearing a mask to reduce the risk of infection Maybe sign put.,Florida,#covid19,130,687,7933,230,neutral,1812,Early outbreak,2020-03-02
55309121-a601-4319-83d3-6013cc3ebb83,nbush,Lockdown measures to curb the pandemic Certain man agreement real manager.,North Carolina,#lockdown,828,145,757,1943,positive,946,Second wave,2020-08-08
d3815200-cbb2-434f-9b3e-92d908b06084,zlopez,COVID-19 restrictions are easing Social inside week hard.,Florida,#pandemic,605,583,2290,4242,positive,4392,Post-lockdown recovery,2020-12-09
d0db3e47-d9ff-493f-9eef-2effc3127332,singhwendy,Returning to normal life after the pandemic Explain seat toward realize.,Nebraska,#quarantine,604,396,4058,62,neutral,563,Early outbreak,2020-03-13
2b97f4c3-bff7-489b-b432-ecbbde3a019e,brian05,Mental health challenges during the pandemic Buy smile center new practice watch party parent.,Alabama,#quarantine,662,861,2313,34,positive,1462,Post-lockdown recovery,2020-11-08
666b92be-eb9c-4acc-9a02-e11be2ae15d5,jnichols,Social distancing to slow the spread Answer stand argue various economy.,Florida,#vaccine,955,830,8193,4158,positive,1919,Lockdown implementation,2020-06-12
